year,month,mean_positive_rate
2020,1,0.042283718
2020,2,0.113181313
2020,3,1.285901639
2020,4,2.292474868
2020,5,1.954891193
2020,6,2.792838624
2020,7,3.507606247
2020,8,3.472767537
2020,9,3.271136243
2020,10,3.999134665
2020,11,5.051806878
2020,12,4.950752688
2021,1,4.710988506
2021,2,3.84103026
2021,3,4.124737109
2021,4,4.464308399
2021,5,3.613807468
2021,6,3.171072178
2021,7,3.945711201
2021,8,4.694538989
2021,9,4.267965879
2021,10,3.951604013
2021,11,4.141325459
2021,12,4.495638811
2022,1,10.25303785
2022,2,10.07935461
2022,3,6.686315723
2022,4,4.974373442
2022,5,4.920680721
2022,6,3.391293963
2022,7,0
2022,8,0
2022,9,0
2022,10,0
2022,11,0
2022,12,0
2023,1,0
2023,2,0
2023,3,0
2023,4,0
2023,5,0
2023,6,0
2023,7,0
2023,8,0
2023,9,0
2023,10,0
